time,location,count
1,China,548
1,Germany,1e-5
1,Italy,1e-5
1,NL,1e-5
1,Other,5
1,South Korea,1
1,USA,1
2,China,643
2,Germany,1e-5
2,Italy,1e-5
2,NL,1e-5
2,Other,8
2,South Korea,1
2,USA,1
3,China,920
3,Germany,1e-5
3,Italy,1e-5
3,NL,1e-5
3,Other,17
3,South Korea,2
3,USA,2
4,China,1406
4,Germany,1e-5
4,Italy,1e-5
4,NL,1e-5
4,Other,24
4,South Korea,2
4,USA,2
5,China,2075
5,Germany,1e-5
5,Italy,1e-5
5,NL,1e-5
5,Other,35
5,South Korea,3
5,USA,5
6,China,2877
6,Germany,1
6,Italy,1e-5
6,NL,1e-5
6,Other,40
6,South Korea,4
6,USA,5
7,China,5509
7,Germany,4
7,Italy,1e-5
7,NL,1e-5
7,Other,56
7,South Korea,4
7,USA,5
8,China,6087
8,Germany,4
8,Italy,1e-5
8,NL,1e-5
8,Other,66
8,South Korea,4
8,USA,5
9,China,8141
9,Germany,4
9,Italy,1e-5
9,NL,1e-5
9,Other,80
9,South Korea,4
9,USA,5
10,China,9802
10,Germany,5
10,Italy,2
10,NL,1e-5
10,Other,100
10,South Korea,11
10,USA,7
11,China,11891
11,Germany,8
11,Italy,2
11,NL,1e-5
11,Other,117
11,South Korea,12
11,USA,8
12,China,16630
12,Germany,10
12,Italy,2
12,NL,1e-5
12,Other,122
12,South Korea,15
12,USA,8
13,China,19716
13,Germany,12
13,Italy,2
13,NL,1e-5
13,Other,125
13,South Korea,15
13,USA,11
14,China,23707
14,Germany,12
14,Italy,2
14,NL,1e-5
14,Other,144
14,South Korea,16
14,USA,11
15,China,27440
15,Germany,12
15,Italy,2
15,NL,1e-5
15,Other,151
15,South Korea,19
15,USA,11
16,China,30587
16,Germany,12
16,Italy,2
16,NL,1e-5
16,Other,182
16,South Korea,23
16,USA,11
17,China,34110
17,Germany,13
17,Italy,3
17,NL,1e-5
17,Other,230
17,South Korea,24
17,USA,11
18,China,36814
18,Germany,13
18,Italy,3
18,NL,1e-5
18,Other,255
18,South Korea,24
18,USA,11
19,China,39829
19,Germany,14
19,Italy,3
19,NL,1e-5
19,Other,268
19,South Korea,25
19,USA,11
20,China,42354
20,Germany,14
20,Italy,3
20,NL,1e-5
20,Other,353
20,South Korea,27
20,USA,11
21,China,44386
21,Germany,16
21,Italy,3
21,NL,1e-5
21,Other,357
21,South Korea,28
21,USA,12
22,China,44759
22,Germany,16
22,Italy,3
22,NL,1e-5
22,Other,403
22,South Korea,28
22,USA,12
23,China,59895
23,Germany,16
23,Italy,3
23,NL,1e-5
23,Other,413
23,South Korea,28
23,USA,13
24,China,66358
